1800,-2864
1801,-2864
1802,-2867
1803,-2869
1804,-2869
1805,-2869
1806,-2870
1807,-2873
1808,-2876
1809,-2876
1810,-2878
1811,-2879
1812,-2881
1813,-2884
1814,-2886
1815,-2886
1816,-2887
1817,-2890
1818,-2892
1819,-2893
1820,-2895
1821,-2896
1822,-2899
1823,-2902
1824,-2902
1825,-2902
1826,-2902
1827,-2903
1828,-2906
1829,-2908
1830,-2908
1831,-2909
1832,-2911
1833,-2914
1834,-2914
1835,-2916
1836,-2917
1837,-2920
1838,-2923
1839,-2923
1840,-2925
1841,-2926
1842,-2929
1843,-2932
1844,-2932
1845,-2932
1846,-2933
1847,-2935
1848,-2938
1849,-2940
1850,-2940
1851,-2941
1852,-2944
1853,-2947
1854,-2947
1855,-2947
1856,-2948
1857,-2951
1858,-2951
1859,-2954
1860,-2954
1861,-2954
1862,-2956
1863,-2959
1864,-2963
1865,-2963
1866,-2964
1867,-2966
1868,-2968
1869,-2970
1870,-2972
1871,-2973
1872,-2976
1873,-2978
1874,-2982
1875,-2982
1876,-2983
1877,-2985
1878,-2986
1879,-2988
1880,-2990
1881,-2991
1882,-2994
1883,-2997
1884,-2997
1885,-2999
1886,-3000
1887,-3003
1888,-3006
1889,-3008
1890,-3008
1891,-3009
1892,-3012
1893,-3014
1894,-3016
1895,-3016
1896,-3016
1897,-3018
1898,-3020
1899,-3021
1900,-3023
1901,-3024
1902,-3026
1903,-3028
1904,-3030
1905,-3030
1906,-3031
1907,-3032
1908,-3034
1909,-3036
1910,-3038
1911,-3039
1912,-3042
1913,-3045
1914,-3049
1915,-3049
1916,-3050
1917,-3053
1918,-3053
1919,-3055
1920,-3055
1921,-3056
1922,-3059
1923,-3059
1924,-3061
1925,-3063
1926,-3063
1927,-3066
1928,-3066
1929,-3069
1930,-3071
1931,-3072
1932,-3075
1933,-3075
1934,-3078
1935,-3078
1936,-3079
1937,-3082
1938,-3082
1939,-3085
1940,-3085
1941,-3085
1942,-3087
1943,-3087
1944,-3087
1945,-3089
1946,-3090
1947,-3090
1948,-3093
1949,-3094
1950,-3094
1951,-3095
1952,-3098
1953,-3100
1954,-3101
1955,-3103
1956,-3104
1957,-3107
1958,-3107
1959,-3109
1960,-3111
1961,-3112
1962,-3115
1963,-3118
1964,-3120
1965,-3122
1966,-3122
1967,-3122
1968,-3124
1969,-3126
1970,-3128
1971,-3128
1972,-3131
1973,-3131
1974,-3131
1975,-3133
1976,-3133
1977,-3134
1978,-3137
1979,-3137
1980,-3137
1981,-3138
1982,-3141
1983,-3144
1984,-3144
1985,-3144
1986,-3145
1987,-3148
1988,-3151
1989,-3155
1990,-3155
1991,-3156
1992,-3158
1993,-3160
1994,-3164
1995,-3164
1996,-3165
1997,-3168
1998,-3168
1999,-3172
2000,-3172
2001,-3172
2002,-3174
2003,-3177
2004,-3179
2005,-3181
2006,-3182
2007,-3185
2008,-3187
2009,-3189
2010,-3189
2011,-3190
2012,-3193
2013,-3196
2014,-3196
2015,-3198
2016,-3199
2017,-3201
2018,-3203
2019,-3205
2020,-3207
2021,-3208
2022,-3211
2023,-3211
2024,-3214
2025,-3214
2026,-3215
2027,-3218
2028,-3221
2029,-3225
2030,-3225
2031,-3226
2032,-3229
2033,-3229
2034,-3233
2035,-3235
2036,-3236
2037,-3238
2038,-3241
2039,-3245
2040,-3245
2041,-3245
2042,-3245
2043,-3248
2044,-3250
2045,-3252
2046,-3253
2047,-3256
2048,-3259
2049,-3263
2050,-3263
2051,-3264
2052,-3267
2053,-3269
2054,-3270
2055,-3272
2056,-3273
2057,-3275
2058,-3278
2059,-3280
2060,-3282
2061,-3283
2062,-3286
2063,-3289
2064,-3291
2065,-3291
2066,-3292
2067,-3295
2068,-3298
2069,-3302
2070,-3302
2071,-3303
2072,-3305
2073,-3308
2074,-3308
2075,-3310
2076,-3310
2077,-3312
2078,-3313
2079,-3317
2080,-3317
2081,-3318
2082,-3321
2083,-3324
2084,-3324
2085,-3324
2086,-3325
2087,-3328
2088,-3330
2089,-3334
2090,-3336
2091,-3337
2092,-3339
2093,-3341
2094,-3343
2095,-3345
2096,-3346
2097,-3349
2098,-3349
2099,-3352
2100,-3354
2101,-3355
2102,-3357
2103,-3358
2104,-3360
2105,-3360
2106,-3361
2107,-3364
2108,-3364
2109,-3367
2110,-3367
2111,-3368
2112,-3370
2113,-3373
2114,-3375
2115,-3375
2116,-3376
2117,-3376
2118,-3379
2119,-3383
2120,-3385
2121,-3385
2122,-3387
2123,-3390
2124,-3392
2125,-3394
2126,-3395
2127,-3398
2128,-3401
2129,-3403
2130,-3405
2131,-3406
2132,-3409
2133,-3412
2134,-3414
2135,-3414
2136,-3415
2137,-3418
2138,-3421
2139,-3421
2140,-3421
2141,-3422
2142,-3424
2143,-3426
2144,-3427
2145,-3428
2146,-3429
2147,-3432
2148,-3432
2149,-3436
2150,-3438
2151,-3438
2152,-3438
2153,-3441
2154,-3445
2155,-3445
2156,-3446
2157,-3449
2158,-3451
2159,-3453
2160,-3453
2161,-3454
2162,-3457
2163,-3460
2164,-3464
2165,-3464
2166,-3465
2167,-3468
2168,-3471
2169,-3471
2170,-3473
2171,-3474
2172,-3477
2173,-3479
2174,-3481
2175,-3483
2176,-3484
2177,-3487
2178,-3489
2179,-3490
2180,-3490
2181,-3491
2182,-3493
2183,-3494
2184,-3497
2185,-3497
2186,-3497
2187,-3498
2188,-3501
2189,-3501
2190,-3501
2191,-3501
2192,-3503
2193,-3505
2194,-3507
2195,-3507
2196,-3508
2197,-3511
2198,-3514
2199,-3518
2200,-3518
2201,-3519
2202,-3522
2203,-3524
2204,-3526
2205,-3526
2206,-3527
2207,-3530
2208,-3533
2209,-3533
2210,-3533
2211,-3533
2212,-3534
2213,-3537
2214,-3541
2215,-3543
2216,-3544
2217,-3546
2218,-3549
2219,-3551
2220,-3553
2221,-3554
2222,-3556
2223,-3558
2224,-3560
2225,-3560
2226,-3561
2227,-3563
2228,-3566
2229,-3566
2230,-3566
2231,-3566
2232,-3569
2233,-3572
2234,-3572
2235,-3574
2236,-3575
2237,-3578
2238,-3580
2239,-3580
2240,-3580
2241,-3581
2242,-3584
2243,-3587
2244,-3587
2245,-3589
2246,-3590
2247,-3593
2248,-3596
2249,-3598
2250,-3598
2251,-3599
2252,-3602
2253,-3605
2254,-3607
2255,-3607
2256,-3608
2257,-3610
2258,-3613
2259,-3613
2260,-3613
2261,-3614
2262,-3617
2263,-3619
2264,-3621
2265,-3621
2266,-3622
2267,-3625
2268,-3628
2269,-3632
2270,-3634
2271,-3634
2272,-3636
2273,-3639
2274,-3643
2275,-3643
2276,-3644
2277,-3646
2278,-3648
2279,-3650
2280,-3650
2281,-3651
2282,-3654
2283,-3656
2284,-3657
2285,-3658
2286,-3659
2287,-3661
2288,-3662
2289,-3666
2290,-3668
2291,-3669
2292,-3672
2293,-3674
2294,-3678
2295,-3680
2296,-3681
2297,-3684
2298,-3687
2299,-3691
2300,-3691
2301,-3691
2302,-3693
2303,-3695
2304,-3699
2305,-3699
2306,-3700
2307,-3703
2308,-3706
2309,-3708
2310,-3710
2311,-3711
2312,-3714
2313,-3714
2314,-3718
2315,-3718
2316,-3719
2317,-3722
2318,-3725
2319,-3727
2320,-3729
2321,-3730
2322,-3733
2323,-3735
2324,-3735
2325,-3735
2326,-3736
2327,-3738
2328,-3741
2329,-3741
2330,-3741
2331,-3741
2332,-3743
2333,-3745
2334,-3749
2335,-3749
2336,-3750
2337,-3753
2338,-3753
2339,-3756
2340,-3758
2341,-3758
2342,-3760
2343,-3762
2344,-3764
2345,-3764
2346,-3765
2347,-3765
2348,-3768
2349,-3770
2350,-3770
2351,-3771
2352,-3774
2353,-3774
2354,-3777
2355,-3779
2356,-3780
2357,-3783
2358,-3785
2359,-3787
2360,-3787
2361,-3787
2362,-3789
2363,-3791
2364,-3795
2365,-3797
2366,-3798
2367,-3800
2368,-3803
2369,-3807
2370,-3809
2371,-3810
2372,-3813
2373,-3816
2374,-3816
2375,-3816
2376,-3817
2377,-3819
2378,-3820
2379,-3822
2380,-3824
2381,-3825
2382,-3828
2383,-3831
2384,-3833
2385,-3835
2386,-3836
2387,-3836
2388,-3839
2389,-3841
2390,-3843
2391,-3844
2392,-3847
2393,-3850
2394,-3854
2395,-3854
2396,-3855
2397,-3858
2398,-3860
2399,-3860
2400,-3862
2401,-3863
2402,-3866
2403,-3868
2404,-3870
2405,-3870
2406,-3871
2407,-3874
2408,-3876
2409,-3877
2410,-3877
2411,-3878
2412,-3881
2413,-3884
2414,-3884
2415,-3884
2416,-3885
2417,-3888
2418,-3890
2419,-3890
2420,-3890
2421,-3891
2422,-3893
2423,-3894
2424,-3895
2425,-3897
2426,-3898
2427,-3901
2428,-3903
2429,-3903
2430,-3903
2431,-3903
2432,-3906
2433,-3909
2434,-3909
2435,-3909
2436,-3910
2437,-3912
2438,-3915
2439,-3919
2440,-3919
2441,-3920
2442,-3923
2443,-3926
2444,-3926
2445,-3926
2446,-3927
2447,-3930
2448,-3930
2449,-3934
2450,-3936
2451,-3937
2452,-3940
2453,-3943
2454,-3945
2455,-3947
2456,-3948
2457,-3951
2458,-3953
2459,-3957
2460,-3959
2461,-3960
2462,-3963
2463,-3966
2464,-3966
2465,-3966
2466,-3967
2467,-3970
2468,-3970
2469,-3972
2470,-3972
2471,-3973
2472,-3975
2473,-3978
2474,-3978
2475,-3978
2476,-3979
2477,-3982
2478,-3985
2479,-3985
2480,-3985
2481,-3985
2482,-3987
2483,-3987
2484,-3990
2485,-3990
2486,-3991
2487,-3994
2488,-3997
2489,-3997
2490,-3997
2491,-3998
2492,-4001
2493,-4001
2494,-4005
2495,-4005
2496,-4006
2497,-4009
2498,-4009
2499,-4011
2500,-4013
2501,-4014
2502,-4017
2503,-4019
2504,-4021
2505,-4023
2506,-4023
2507,-4026
2508,-4028
2509,-4030
2510,-4030
2511,-4031
2512,-4033
2513,-4034
2514,-4036
2515,-4036
2516,-4036
2517,-4038
2518,-4041
2519,-4041
2520,-4041
2521,-4042
2522,-4045
2523,-4047
2524,-4049
2525,-4049
2526,-4049
2527,-4050
2528,-4052
2529,-4052
2530,-4052
2531,-4053
2532,-4056
2533,-4058
2534,-4058
2535,-4059
2536,-4059
2537,-4062
2538,-4065
2539,-4065
2540,-4065
2541,-4066
2542,-4069
2543,-4071
2544,-4073
2545,-4073
2546,-4073
2547,-4075
2548,-4078
2549,-4078
2550,-4080
2551,-4081
2552,-4084
2553,-4087
2554,-4091
2555,-4091
2556,-4092
2557,-4094
2558,-4096
2559,-4096
2560,-4096
2561,-4097
2562,-4100
2563,-4103
2564,-4105
2565,-4105
2566,-4106
2567,-4109
2568,-4111
2569,-4111
2570,-4111
2571,-4111
2572,-4114
2573,-4117
2574,-4119
2575,-4121
2576,-4122
2577,-4125
2578,-4128
2579,-4128
2580,-4128
2581,-4129
2582,-4132
2583,-4135
2584,-4139
2585,-4139
2586,-4140
2587,-4143
2588,-4145
2589,-4147
2590,-4149
2591,-4150
2592,-4153
2593,-4156
2594,-4156
2595,-4156
2596,-4157
2597,-4160
2598,-4163
2599,-4167
2600,-4169
2601,-4170
2602,-4173
2603,-4176
2604,-4176
2605,-4176
2606,-4177
2607,-4180
2608,-4182
2609,-4183
2610,-4185
2611,-4186
2612,-4188
2613,-4189
2614,-4192
2615,-4192
2616,-4193
2617,-4193
2618,-4196
2619,-4198
2620,-4198
2621,-4199
2622,-4201
2623,-4204
2624,-4204
2625,-4206
2626,-4207
2627,-4207
2628,-4210
2629,-4214
2630,-4216
2631,-4217
2632,-4220
2633,-4223
2634,-4225
2635,-4227
2636,-4228
2637,-4230
2638,-4231
2639,-4233
2640,-4233
2641,-4234
2642,-4237
2643,-4237
2644,-4240
2645,-4240
2646,-4240
2647,-4241
2648,-4244
2649,-4246
2650,-4246
2651,-4247
2652,-4250
2653,-4252
2654,-4254
2655,-4256
2656,-4257
2657,-4259
2658,-4262
2659,-4264
2660,-4266
2661,-4267
2662,-4267
2663,-4270
2664,-4272
2665,-4272
2666,-4273
2667,-4276
2668,-4279
2669,-4281
2670,-4283
2671,-4284
2672,-4287
2673,-4289
2674,-4293
2675,-4295
2676,-4296
2677,-4298
2678,-4299
2679,-4303
2680,-4305
2681,-4306
2682,-4309
2683,-4312
2684,-4316
2685,-4316
2686,-4317
2687,-4320
2688,-4323
2689,-4327
2690,-4329
2691,-4330
2692,-4332
2693,-4335
2694,-4337
2695,-4337
2696,-4338
2697,-4341
2698,-4341
2699,-4341
2700,-4341
2701,-4342
2702,-4345
2703,-4347
2704,-4349
2705,-4349
2706,-4350
2707,-4353
2708,-4355
2709,-4357
2710,-4359
2711,-4360
2712,-4363
2713,-4365
2714,-4365
2715,-4366
2716,-4366
2717,-4369
2718,-4369
2719,-4372
2720,-4372
2721,-4373
2722,-4376
2723,-4379
2724,-4379
2725,-4379
2726,-4380
